"Atelocynus","Crypturellus","Cuniculus","Dasyprocta","Dasypus","Didelphis","Eira","Herpailurus","Hydrochoerus","Leopardus","Mazama","Metachirus","Mitu","Myrmecophaga","Nasua","Nothocrax","Odontophorus","Panthera","Pecari","Penelope","Priodontes","Procyon","Psophia","Puma","Sciurus","Speothos","Sylvilagus","Tamandua","Tapirus","Tayassu","Tinamus"
0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3
0,0,19,6,12,0,0,0,0,3,0,0,32,0,0,0,0,9,47,0,0,0,0,9,0,0,0,0,0,57,0
0,0,6,15,18,0,0,0,0,3,14,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
0,29,78,19,80,0,3,0,0,0,67,0,215,0,0,0,6,0,102,40,0,0,43,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,6,0,0,0,0,0,9,0,6,0,0,0,0,0,91,0,0,0,0,0,6,0,0,0,0,0,9
0,0,17,50,16,5,0,0,0,0,12,0,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,20,0,0,0,0,0,5,0,20,0,0,0,0,0,45,5,0,0,35,0,0,0,0,0,3,0,9
0,0,0,10,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,4,15,3,3,0,0,4,0,41,0,21,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,24,37,6,0,0,0,2,3,8,3,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0
0,0,8,11,0,0,0,0,0,6,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
0,14,11,44,53,0,6,0,0,3,29,0,0,0,0,0,0,0,14,3,0,9,11,0,0,0,0,3,0,3,27
0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,19,27,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,3
0,0,6,37,12,0,0,0,0,0,15,0,0,0,0,0,0,0,60,6,0,0,12,0,0,0,0,0,0,0,0
0,3,12,250,86,0,0,0,0,0,81,0,0,0,12,0,0,0,3,9,0,0,27,0,0,0,0,0,3,0,0
0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,54,51,9,0,0,0,0,2,30,0,25,0,0,0,0,0,190,0,0,0,6,0,0,0,0,0,11,0,0
0,0,23,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,75,0,0,0,0,0,0,0,11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3
0,11,0,3,3,0,0,0,0,0,0,0,10,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,7,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,32,0,59,0,0,0,0,0,23,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,39,0
0,0,118,24,33,0,0,0,0,0,9,0,18,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,6,0,0
0,0,0,49,13,0,0,0,0,0,0,0,13,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3
0,0,4,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,10,3
0,0,15,37,32,0,9,0,0,0,31,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,9
0,5,0,0,20,0,0,0,0,0,6,0,33,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,2
0,0,15,81,29,3,0,0,0,0,12,0,110,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,6,0
0,0,6,57,0,0,0,0,0,0,24,0,54,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,3,42,37,19,8,0,0,0,4,16,0,16,7,2,0,4,0,0,4,0,0,0,0,0,0,0,3,0,4,0
0,0,7,14,9,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
0,0,35,88,23,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,51,0
0,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,0
0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,246,0,0,0,0,0,0,0,0,6,0,12,0
2,0,0,40,3,0,0,0,0,3,29,0,15,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20,0,0,0,0,0,3,19,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0
0,0,3,70,19,0,0,0,0,2,52,0,12,0,3,15,0,0,60,0,0,0,0,0,0,0,0,0,0,0,6
3,0,21,70,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,33,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,23,0
0,0,26,14,43,0,3,0,0,0,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,34
0,0,0,15,54,0,0,0,0,0,34,0,12,0,39,0,0,0,103,0,0,0,9,0,0,0,0,0,0,0,0
0,0,9,22,17,0,0,0,0,0,65,0,12,0,0,0,0,0,22,0,0,0,8,0,0,0,0,0,3,0,3
2,0,0,3,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,3,3,0,0,0,0,0,27,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,118,0
0,0,17,0,25,0,0,0,0,0,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
0,0,0,9,3,17,9,0,0,0,42,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,11,3,0,0,0,0,0,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,11,12,0,0,0,0,0,22,0,44,0,0,0,0,0,32,0,0,0,0,8,0,0,0,0,0,0,0
0,0,13,24,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,7
0,0,12,55,11,0,0,0,0,0,14,0,110,0,0,0,0,0,18,6,0,0,3,0,0,0,0,0,0,0,75
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,6,16,5,0,0,0,3,30,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,12,0,0
0,0,5,8,12,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,17,21,5,21,0,0,0,0,35,0,23,0,0,3,0,0,7,0,4,3,0,0,0,0,0,0,0,14,11
3,0,12,10,18,0,0,0,0,6,18,0,6,17,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,19,14,23,28,0,0,0,0,0,6,0,12,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,3
0,0,3,8,0,0,0,0,0,0,30,0,26,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0
0,0,3,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,64,0,3,0,0,0,0,0,0,0,0,3,0
0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,25,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6
0,0,8,3,0,0,0,0,0,5,18,0,0,0,0,0,0,0,52,0,0,3,9,0,0,0,0,0,0,0,0
3,0,0,12,3,0,0,0,0,0,3,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14,0,0
0,0,8,28,15,0,0,0,0,0,3,0,29,0,0,0,0,0,48,0,0,0,6,0,0,0,0,0,26,0,3
0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5,0,6
0,0,3,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
0,2,1,9,6,0,0,0,0,2,5,0,3,0,7,0,0,0,86,0,0,0,0,0,0,0,0,0,0,8,0
1,0,4,3,2,0,0,0,0,0,5,0,5,0,0,0,0,0,192,0,0,0,0,0,0,0,0,1,6,0,8
12,0,62,3,12,0,0,0,0,0,58,0,9,3,0,0,0,0,156,0,0,0,33,0,0,0,0,0,0,207,3
0,3,6,22,37,0,0,0,0,0,5,0,0,0,14,0,0,0,9,0,0,0,0,3,20,0,0,0,0,0,3
0,0,6,19,3,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,2
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,21,15,0,0,0,0,0,0,0,30,8,0,0,0,0,80,0,0,0,18,0,0,0,0,0,9,0,24
0,0,7,4,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,27,0,0,0,0,0,7,16,3
0,0,5,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
