"sampling_event","longitude","latitude","placename","dist_water","intensity_500","intensity_250","effort","Atelocynus","Dasyprocta","Myrmecophaga","Pecari","Tapirus","Cuniculus","Leopardus","Mazama","Nasua","Tayassu","Puma","Tamandua","Didelphis","Eira","Dasypus","Priodontes","Panthera"
"2017",-62.992246,-9.4104855,"CT-207",180.2779999,0,0,59,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0
"2017",-62.9793665,-9.410485,"CT-208",400,0,0,40,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"2017",-62.9536076,-9.4104825,"CT-210",180.2779999,0,0,59,0,18,0,26,0,36,0,0,0,0,0,0,0,0,0,0,6
"2018",-62.9407282,-9.4104806,"CT-211",670.8200073,0,0,44,0,78,3,20,0,5,0,9,0,23,0,0,0,9,0,0,0
"2018",-62.9149693,-9.4104753,"CT-213",291.5480042,0,0,44,0,42,0,14,0,3,0,32,0,0,0,0,0,3,0,0,0
"2016",-62.8376928,-9.4104482,"CT-219",320.1560059,0,0,46,0,6,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0
"2017",-62.8376928,-9.4104482,"CT-219",320.1560059,0,0,56,0,6,0,47,0,17,3,0,0,51,9,0,0,0,0,0,9
"2016",-62.8248134,-9.4104421,"CT-220",400,0,0,34,0,18,0,15,0,6,3,0,0,0,0,0,0,0,10,0,0
"2017",-62.8248134,-9.4104421,"CT-220",400,0,0,58,0,19,0,103,0,83,0,0,0,0,0,0,0,3,0,0,0
"2016",-62.811934,-9.4104355,"CT-221",390.5119934,0,0,42,0,3,0,96,0,3,0,0,0,0,0,0,0,0,0,0,0
"2017",-62.811934,-9.4104355,"CT-221",390.5119934,0,0,56,0,48,0,6,0,16,0,0,0,0,0,0,6,0,0,0,0
"2018",-62.811934,-9.4104355,"CT-221",390.5119934,0,0,56,0,34,0,40,3,0,0,6,0,0,0,0,0,0,0,0,0
"2020",-63.0566411,-9.3976916,"CT-240",538.5159912,0,0,36,0,12,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
"2019",-63.0566411,-9.3976916,"CT-240",538.5159912,0,0,37,0,23,0,35,0,6,0,26,6,0,0,0,3,0,5,0,0
"2020",-63.030159,-9.397696,"CT-242",1030.7800293,0,0,43,0,30,0,33,0,6,3,3,0,0,0,0,5,0,30,0,0
"2020",-63.005125,-9.397696,"CT-244",150,0,0,45,0,11,0,0,4,6,7,11,0,0,0,0,0,0,0,0,0
"2020",-62.99225,-9.397694,"CT-245",250,0,0,43,0,0,0,0,0,0,0,3,2,3,0,1,0,0,0,0,0
"2017",-62.9793673,-9.3976955,"CT-246",552.2680054,0,0,60,0,42,0,15,0,11,3,0,0,3,0,3,0,5,0,0,0
"2017",-62.9664883,-9.3976945,"CT-247",50,0,0,46,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.9536093,-9.397693,"CT-248",250,0,0,43,0,12,0,0,0,6,0,6,0,0,0,11,0,0,0,0,0
"2018",-62.9407303,-9.3976911,"CT-249",600,0,0,31,0,35,0,51,0,6,0,9,0,0,0,0,0,0,0,0,0
"2018",-62.9149724,-9.3976859,"CT-251",651.9199829,0,0,44,0,221,0,3,3,12,0,55,12,0,0,0,0,0,0,0,0
"2018",-62.9020934,-9.3976825,"CT-252",223.6069946,0,0,45,0,6,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0
"2016",-62.8376987,-9.3976588,"CT-257",100,0,0,41,0,49,0,179,0,51,3,30,0,0,0,0,0,0,0,0,0
"2018",-62.8376987,-9.3976588,"CT-257",100,0,0,19,0,31,0,0,0,27,0,3,0,0,0,0,0,0,0,0,0
"2016",-62.8248198,-9.3976527,"CT-258",250,0,0,46,0,16,0,41,0,0,0,0,0,0,0,0,0,0,72,0,0
"2017",-62.8248198,-9.3976527,"CT-258",250,0,0,56,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.8248198,-9.3976527,"CT-258",250,0,0,7,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"2016",-62.8119409,-9.3976461,"CT-259",141.4210052,0,0,41,0,0,0,0,0,32,0,20,0,40,0,0,0,0,44,0,0
"2017",-62.8119409,-9.3976461,"CT-259",141.4210052,0,0,35,0,21,0,37,6,121,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.8119409,-9.3976461,"CT-259",141.4210052,0,0,52,0,50,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3
"2020",-63.056639,-9.384902,"CT-278",781.0250244,0,0,37,0,4,1,20,8,6,0,0,0,17,0,0,0,0,0,0,0
"2017",-63.030882,-9.3849053,"CT-280",813.940979,0,0,58,0,37,0,12,0,15,0,0,0,0,0,5,0,9,0,0,0
